MNH120 scaffold	MNH120 id	USR5 scaffold	USR5 id	B04 scaffold	B04 id	MNH120 function	USR5 function	B04 function
scaffold_978	atg12483	NODE_36160_length_249094_cov_15.165792	NS.06854	B04S84	B04S84.g6047	Cytochrome P450		Cytochrome P450
scaffold_978	atg12483	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11297.1.18	B04S84	B04S84.g6047	Cytochrome P450	Cytochrome P450	Cytochrome P450
scaffold_978	atg12483	NODE_36160_length_249094_cov_15.165792	NS.06855	B04S84	B04S84.g6047	Cytochrome P450	Cytochrome P450	Cytochrome P450
scaffold_978	atg12484	NODE_36160_length_249094_cov_15.165792	NS.06856	B04S84	B04S84.g6046	Dimeric alpha-beta barrel protein, secondary metabolite associated	Dimeric alpha-beta barrel protein, secondary metabolite associated	Dimeric alpha-beta barrel protein, secondary metabolite associated
scaffold_978	atg12485							
scaffold_978	atg12486	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11301.1.19	B04S84	B04S84.g6045	GDP-mannose transporter	GDP-mannose transporter	GDP-mannose transporter
scaffold_978	atg12487	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11325.4.26	B04S84	B04S84.g6044	Cellobiose dehydrogenase	Cellobiose dehydrogenase	Cellobiose dehydrogenase
scaffold_978	atg12488	NODE_36160_length_249094_cov_15.165792	NS.06857					
scaffold_978	atg12488	NODE_36160_length_249094_cov_15.165792	NS.06858	B04S84	B04S84.g6043			
scaffold_978	atg12489	NODE_36160_length_249094_cov_15.165792	NS.06859	B04S84	B04S84.g6042			
		NODE_36160_length_249094_cov_15.165792	NS.06860					
scaffold_978	atg12490	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11309.1.28	B04S84	B04S84.g6041	GATS-like protein	GATS-like protein	GATS-like protein
scaffold_978	atg12491	NODE_36160_length_249094_cov_15.165792	NS.06861					
scaffold_978	atg12492	NODE_36160_length_249094_cov_15.165792	NS.06862	B04S84	B04S84.g6040	WD40 repeat domain-containing protein, possibly ribosome associated, possible protease activity	WD40 repeat domain-containing protein, possibly ribosome associated, possible protease activity	WD40 repeat domain-containing protein, possibly ribosome associated, possible protease activity
				B04S84	B04S84.g6039			
scaffold_978	atg12493	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11385.1.34	B04S84	B04S84.g6038	Cell division control protein	Cell division control protein	Cell division control protein
scaffold_978	atg12494	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11385.1.33	B04S84	B04S84.g6038	Cell division control protein	Cell division control protein	Cell division control protein
scaffold_978	atg12495	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11385.1.32	B04S84	B04S84.g6037	WD40 repeat domain-containing protein	WD40 repeat domain-containing protein	WD40 repeat domain-containing protein
scaffold_978	atg12496	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11385.1.31					
