MNH120 scaffold	MNH120 id	USR5 scaffold	USR5 id	B04 scaffold	B04 id	MNH120 function	USR5 function	B04 function
scaffold_48	atg162	NODE_36160_length_249094_cov_15.165792	NS.06847	B04S209	B04S209.g10047			
scaffold_48	atg161	NODE_36160_length_249094_cov_15.165792	NS.06846	B04S209	B04S209.g10048			
scaffold_48	atg160	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11287.1.9	B04S209	B04S209.g10049	Sulfite oxidase	Sulfite oxidase	Sulfite oxidase
				B04S209	B04S209.g10050			
scaffold_48	atg159	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11284.2.7	B04S209	B04S209.g10051	Amun-like protein	Amun-like protein	Amun-like protein
scaffold_893	atg7462	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11303.1.5	B04S209	B04S209.g10052	Ubiquitin carboxyl-terminal hydrolase	Ubiquitin carboxyl-terminal hydrolase	Ubiquitin carboxyl-terminal hydrolase
scaffold_893	atg7463	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11302.1.4	B04S209	B04S209.g10053	Pyruvate dehydrogenase kinase	Pyruvate dehydrogenase kinase	Pyruvate dehydrogenase kinase
		NODE_36160_length_249094_cov_15.165792	NS.06845					
scaffold_893	atg7464	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11302.1.3	B04S209	B04S209.g10054			
scaffold_893	atg7465	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11282.1.2	B04S209	B04S209.g10055	Beta-glucosidase family 1	Beta-glucosidase family 1	Beta-glucosidase family 1
scaffold_996	atg10702	NODE_36160_length_249094_cov_15.165792	NS.06844	B04S209	B04S209.g10056	Membrane protein with unknown function	Membrane protein with unknown function	Membrane protein with unknown function
scaffold_996	atg10703	NODE_36160_length_249094_cov_15.165792	exon.CUFF.11283.1.0	B04S209	B04S209.g10057	Secreted protein with unknown function	Secreted protein with unknown function	Secreted protein with unknown function
scaffold_996	atg10704	NODE_36160_length_249094_cov_15.165792	NS.06843	B04S209	B04S209.g10058			
scaffold_996	atg10705	NODE_36160_length_249094_cov_15.165792	NS.06842	B04S209	B04S209.g10059	GPI transamidase component PIG-U	GPI transamidase component PIG-U	GPI transamidase component PIG-U
		NODE_5090_length_307152_cov_15.165000	NS.08710				Oxidoreductase	
		NODE_5090_length_307152_cov_15.165000	exon.CUFF.14260.1.0				Aromatic-L-amino acid decarboxylase	
scaffold_996	atg10706			B04S209	B04S209.g10060	Possible glycosyltransferase		Possible glycosyltransferase
		NODE_5090_length_307152_cov_15.165000	NS.08711					
		NODE_5090_length_307152_cov_15.165000	NS.08712					
		NODE_5090_length_307152_cov_15.165000	NS.08713					
		NODE_5090_length_307152_cov_15.165000	NS.08714					
		NODE_5090_length_307152_cov_15.165000	NS.08715					
		NODE_5090_length_307152_cov_15.165000	NS.08716				Partial Cytochrome P450 match	
		NODE_5090_length_307152_cov_15.165000	NS.08717				Partial ribonuclease H/Integrase, possible Gypsy TE	
		NODE_5090_length_307152_cov_15.165000	NS.08718				Partial polymerase, possible Gypsy TE	
		NODE_5090_length_307152_cov_15.165000	NS.08719				Partial polymerase, possible Gypsy TE	
		NODE_5090_length_307152_cov_15.165000	NS.08720				Weak partial Gypsy TE match	
		NODE_5090_length_307152_cov_15.165000	NS.08721				Partial phospholipase	
		NODE_5090_length_307152_cov_15.165000	NS.08722					
		NODE_5090_length_307152_cov_15.165000	NS.08723					
scaffold_996	atg10706	NODE_5090_length_307152_cov_15.165000	NS.08724	B04S209	B04S209.g10060	Possible glycosyltransferase	Possible glycosyltransferase	Possible glycosyltransferase
scaffold_996	atg10707	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14230.1.3	B04S209	B04S209.g10062	MM3350-like protein, possible DNA-binding	MM3350-like protein, possible DNA-binding	MM3350-like protein, possible DNA-binding
scaffold_996	atg10708	NODE_5090_length_307152_cov_15.165000	NS.08725	B04S209	B04S209.g10063			
		NODE_5090_length_307152_cov_15.165000	NS.08726	B04S209	B04S209.g10064		NCS1 family purine/pyrimidine transporter	NCS1 family purine/pyrimidine transporter
		NODE_5090_length_307152_cov_15.165000	exon.CUFF.14211.1.7	B04S209	B04S209.g10065		Transcriptional regulatory protein	Clavaminate synthase-like protein
scaffold_996	atg10709	NODE_5090_length_307152_cov_15.165000	NS.08729					
		NODE_5090_length_307152_cov_15.165000	exon.CUFF.14232.2.11					
scaffold_996	atg10710	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14232.2.10	B04S209	B04S209.g10066	Chloride conductance regulatory protein ICLN	Chloride conductance regulatory protein ICLN	Chloride conductance regulatory protein ICLN
		NODE_5090_length_307152_cov_15.165000	exon.CUFF.14214.1.12	B04S209	B04S209.g10067		Glycosyltransferase family 25 member, possibly inactive	Glycosyltransferase family 25 member
scaffold_996	atg10711	NODE_5090_length_307152_cov_15.165000	NS.08730	B04S209	B04S209.g10067	Glycosyltransferase family 25 member, possibly inactive	Glycosyltransferase family 25 member, possibly inactive	Glycosyltransferase family 25 member
		NODE_5090_length_307152_cov_15.165000	NS.08730	B04S209	B04S209.g10068		Glycosyltransferase family 25 member, possibly inactive	Glycosyltransferase family 25 member
scaffold_996	atg10712	NODE_5090_length_307152_cov_15.165000	NS.08731	B04S209	B04S209.g10069			
scaffold_996	atg10713	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14217.1.14	B04S209	B04S209.g10070			
scaffold_996	atg10713	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14217.2.15	B04S209	B04S209.g10070			
scaffold_996	atg10713	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14217.3.16	B04S209	B04S209.g10070			
		NODE_5090_length_307152_cov_15.165000	NS.08732					
scaffold_996	atg10714	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14228.1.17	B04S209	B04S209.g10071	Vacuolar protein sorting-associated protein 54	Vacuolar protein sorting-associated protein 54	Vacuolar protein sorting-associated protein 54
scaffold_996	atg10715	NODE_5090_length_307152_cov_15.165000	NS.08733	B04S209	B04S209.g10072			
		NODE_5090_length_307152_cov_15.165000	NS.08734					
scaffold_996	atg10716	NODE_5090_length_307152_cov_15.165000	NS.08735	B04S209	B04S209.g10073			
scaffold_996	atg10717	NODE_5090_length_307152_cov_15.165000	NS.08736	B04S209	B04S209.g10074			
scaffold_996	atg10718	NODE_5090_length_307152_cov_15.165000	NS.08737	B04S209	B04S209.g10075	MFS transporter	MFS transporter	MFS transporter
scaffold_996	atg10719	NODE_5090_length_307152_cov_15.165000	NS.08738	B04S209	B04S209.g10076	Secreted protein with unknown function	Secreted protein with unknown function	Secreted protein with unknown function
scaffold_996	atg10720							
scaffold_996	atg10721	NODE_5090_length_307152_cov_15.165000	NS.08739	B04S209	B04S209.g10077	Possible M-phase phosphoprotein 6	Possible M-phase phosphoprotein 6	Possible M-phase phosphoprotein 6
scaffold_996	atg10722	NODE_5090_length_307152_cov_15.165000	NS.08740	B04S209	B04S209.g10078	NADH-ubiquinone oxidoreductase	NADH-ubiquinone oxidoreductase	NADH-ubiquinone oxidoreductase
